target_x,target_y,source_x,source_y
268968.631200000003446,4488342.031299999915063,268968.631200000003446,4488342.031299999915063
268940.761899999983143,4488410.697399999946356,268940.761899999983143,4488410.697399999946356
268594.929500000027474,4488386.259800000116229,268594.144599999999627,4488386.256799999624491
268593.273999999975786,4488374.716599999926984,268592.607599999988452,4488374.712500000372529
268834.723400000017136,4488353.087299999780953,268833.814000000013039,4488353.081799999810755
268692.289600000018254,4488554.786899999715388,268691.235800000024028,4488554.777900000102818
268704.754000000015367,4488624.696399999782443,268704.390200000023469,4488624.687800000421703
268550.197500000009313,4488492.234299999661744,268549.481900000013411,4488492.217299999669194
268844.086699999985285,4488430.166600000113249,268843.629399999976158,4488430.147699999623001
268688.425500000012107,4488387.661999999545515,268688.093999999982771,4488387.647900000214577
268611.504100000020117,4488331.013500000350177,268610.948900000017602,4488330.988800000399351
268594.218799999973271,4488378.070799999870360,268593.360500000009779,4488378.030600000172853
268705.079000000027008,4488685.074300000444055,268704.755599999974947,4488685.059000000357628
268684.985999999975320,4488626.823099999688566,268684.702199999999721,4488626.808799999766052
268544.388800000015181,4488445.495600000023842,268543.857799999997951,4488445.463899999856949
268557.070100000011735,4488457.505499999970198,268556.013199999986682,4488457.434999999590218
268612.058000000019092,4488511.035000000149012,268611.366099999984726,4488510.985899999737740
268796.214099999982864,4488672.559999999590218,268795.073800000012852,4488672.476599999703467
268691.497600000002421,4488695.210799999535084,268690.737499999988358,4488695.149199999868870
268489.471399999980349,4488690.798999999649823,268488.536599999992177,4488690.722500000149012
268780.060600000026170,4488622.670699999667704,268779.244300000020303,4488622.600399999879301
268693.368499999982305,4488682.670199999585748,268692.567500000004657,4488682.599399999715388
268666.438699999998789,4488534.206799999810755,268665.986199999984819,4488534.160299999639392
268671.314300000027288,4488523.457100000232458,268670.874399999971502,4488523.409599999897182
268568.393299999996088,4488628.829900000244379,268567.471299999975599,4488628.727099999785423
268470.770000000018626,4488599.689000000245869,268469.691600000020117,4488599.560600000433624
268877.289099999994505,4488339.608699999749660,268876.549799999978859,4488339.519199999980628
268674.206000000005588,4488522.697599999606609,268673.760100000014063,4488522.637799999676645
268456.125999999989290,4488488.553100000135601,268455.976800000004005,4488488.532200000248849
268625.923799999989569,4488701.931699999608099,268625.197099999990314,4488701.827999999746680
268595.060600000026170,4488352.827499999664724,268594.135999999998603,4488352.674999999813735
268621.316400000010617,4488657.449599999934435,268620.777699999976903,4488657.359899999573827
268823.706300000019837,4488567.033900000154972,268822.397600000025705,4488566.805800000205636
268524.740999999979977,4488625.000300000421703,268523.770900000003166,4488624.827300000004470
268497.444599999987986,4488546.558500000275671,268496.626500000013039,4488546.410799999721348
